Director,Actor/Actress,Movies
Don Bluth,Gary Goldman,"['Anastasia', 'All Dogs Go to Heaven', 'Thumbelina', 'Titan A.E.', 'Rock-A-Doodle']"
Don Siegel,Clint Eastwood,"['Dirty Harry', 'Dirty Harry', 'Escape from Alcatraz', 'Two Mules for Sister Sara', 'The Beguiled', ""Coogan's Bluff""]"
Doug Liman,Tom Cruise,"['Edge of Tomorrow', 'American Made', 'Live Die Repeat and Repeat', 'Untitled Tom Cruise/SpaceX Project']"
Edgar Wright,Nick Frost,"['Hot Fuzz', 'Shaun of the Dead', ""The World's End""]"
Edgar Wright,Simon Pegg,"['Hot Fuzz', 'Shaun of the Dead', ""The World's End""]"
Edward Zwick,Denzel Washington,"['Glory', 'The Siege', 'Courage Under Fire']"
Emilio Estevez,Emilio Estevez,"['The Way', 'Men at Work', 'Young Guns 3: Alias Billy the Kid']"
Eric Darnell,Ben Stiller,"['Madagascar', 'Madagascar: Escape 2 Africa', ""Madagascar 3: Europe's Most Wanted""]"
Eric Darnell,Chris Rock,"['Madagascar', 'Madagascar: Escape 2 Africa', ""Madagascar 3: Europe's Most Wanted""]"
Eric Darnell,David Schwimmer,"['Madagascar', 'Madagascar: Escape 2 Africa', ""Madagascar 3: Europe's Most Wanted""]"
Eric Darnell,Jada Pinkett Smith,"['Madagascar', 'Madagascar: Escape 2 Africa', ""Madagascar 3: Europe's Most Wanted""]"
Eric Darnell,Tom McGrath,"['Madagascar', 'Madagascar: Escape 2 Africa', ""Madagascar 3: Europe's Most Wanted"", 'Penguins of Madagascar']"
Ethan Coen,Joel Coen,"['No Country for Old Men', 'True Grit', 'The Ballad of Buster Scruggs', 'Burn After Reading', 'A Serious Man', 'Inside Llewyn Davis', 'Hail, Caesar!', 'The Ladykillers']"
Ethan Coen,Josh Brolin,"['No Country for Old Men', 'True Grit', 'Hail, Caesar!']"
Evan Goldberg,Seth Rogen,"['This Is the End', 'This Is the End', 'The Interview', 'The Interview', 'The Studio', 'The Studio']"
Francis Ford Coppola,Al Pacino,"['The Godfather', 'The Godfather Part II', 'The Godfather Part III']"
Francis Ford Coppola,Diane Keaton,"['The Godfather', 'The Godfather Part II', 'The Godfather Part III']"
Francis Ford Coppola,Diane Lane,"['Rumble Fish', 'Jack', 'The Cotton Club']"
Francis Ford Coppola,Frederic Forrest,"['Apocalypse Now', 'The Conversation', 'One from the Heart', 'Tucker: The Man and His Dream']"
Francis Ford Coppola,Robert Duvall,"['Apocalypse Now', 'The Godfather Part II', 'The Rain People']"
Francis Lawrence,Jennifer Lawrence,"['The Hunger Games: Catching Fire', 'The Hunger Games: Mockingjay - Part 2', 'Red Sparrow', 'The Hunger Games: Mockingjay - Part 1']"
Francis Lawrence,Josh Hutcherson,"['The Hunger Games: Catching Fire', 'The Hunger Games: Mockingjay - Part 2', 'The Hunger Games: Mockingjay - Part 1']"
Francis Lawrence,Liam Hemsworth,"['The Hunger Games: Catching Fire', 'The Hunger Games: Mockingjay - Part 2', 'The Hunger Games: Mockingjay - Part 1']"
Frank Coraci,Adam Sandler,"['Blended', 'Click', 'The Waterboy', 'The Wedding Singer', 'The Ridiculous 6']"
François Simard,Anouk Whissell,"['Summer of 84', 'Turbo Kid', 'Wake Up']"
François Simard,Yoann-Karl Whissell,"['Summer of 84', 'Turbo Kid', 'Wake Up']"
Garry Marshall,Anne Hathaway,"['The Princess Diaries', 'The Princess Diaries 2: Royal Engagement', ""Valentine's Day""]"
Garry Marshall,Hector Elizondo,"['The Princess Diaries', 'The Princess Diaries 2: Royal Engagement', 'Runaway Bride', 'Frankie and Johnny']"
Garry Marshall,Julia Roberts,"['Pretty Woman', ""Mother's Day"", ""Valentine's Day"", 'Runaway Bride']"
Gary Trousdale,Kirk Wise,"['Beauty and the Beast', 'Atlantis: The Lost Empire', 'The Hunchback of Notre Dame']"
Gavin O'Connor,Ben Affleck,"['The Accountant', 'The Way Back', 'Untitled Accountant Sequel']"
Genndy Tartakovsky,Adam Sandler,"['Hotel Transylvania', 'Hotel Transylvania 2', 'Hotel Transylvania 3: Summer Vacation']"
Genndy Tartakovsky,Andy Samberg,"['Hotel Transylvania', 'Hotel Transylvania 2', 'Hotel Transylvania 3: Summer Vacation']"
Genndy Tartakovsky,Kevin James,"['Hotel Transylvania', 'Hotel Transylvania 2', 'Hotel Transylvania 3: Summer Vacation']"
Genndy Tartakovsky,Selena Gomez,"['Hotel Transylvania', 'Hotel Transylvania 2', 'Hotel Transylvania 3: Summer Vacation']"
George Clooney,George Clooney,"['The Ides of March', 'The Monuments Men', 'The Midnight Sky', 'Confessions of a Dangerous Mind', 'Good Night, and Good Luck.']"
George Lucas,Ewan McGregor,"['Star Wars: Episode I - The Phantom Menace', 'Star Wars: Episode II - Attack of the Clones', 'Star Wars: Episode III - Revenge of the Sith']"
George Lucas,Natalie Portman,"['Star Wars: Episode I - The Phantom Menace', 'Star Wars: Episode II - Attack of the Clones', 'Star Wars: Episode III - Revenge of the Sith']"
George Miller,Mel Gibson,"['Mad Max', 'Mad Max 2', 'Mad Max Beyond Thunderdome']"
George Roy Hill,Paul Newman,"['The Sting', 'Butch Cassidy and the Sundance Kid', 'Slap Shot']"
Glenn Ficarra,John Requa,"['Crazy, Stupid, Love.', 'Focus', 'Whiskey Tango Foxtrot', 'I Love You Phillip Morris']"
Gore Verbinski,Johnny Depp,"['Pirates of the Caribbean: The Curse of the Black Pearl', ""Pirates of the Caribbean: Dead Man's Chest"", ""Pirates of the Caribbean: At World's End"", 'Rango', 'The Lone Ranger']"
Gore Verbinski,Keira Knightley,"['Pirates of the Caribbean: The Curse of the Black Pearl', ""Pirates of the Caribbean: Dead Man's Chest"", ""Pirates of the Caribbean: At World's End""]"
Gore Verbinski,Orlando Bloom,"['Pirates of the Caribbean: The Curse of the Black Pearl', ""Pirates of the Caribbean: Dead Man's Chest"", ""Pirates of the Caribbean: At World's End""]"
Guillermo del Toro,Doug Jones,"['Hellboy', 'The Shape of Water', 'Hellboy II: The Golden Army']"
Guillermo del Toro,Ron Perlman,"['Hellboy', 'Hellboy II: The Golden Army', 'Blade II', 'Cronos']"
Guy Ritchie,Eiza González,"['The Ministry of Ungentlemanly Warfare', 'In the Grey', 'Fountain of Youth']"
Guy Ritchie,Henry Cavill,"['The Ministry of Ungentlemanly Warfare', 'The Man from U.N.C.L.E.', 'In the Grey']"
Guy Ritchie,Jason Statham,"['Snatch', 'Wrath of Man', 'Operation Fortune: Ruse de Guerre', 'Lock, Stock and Two Smoking Barrels', 'Revolver']"
Guy Ritchie,Jude Law,"['Sherlock Holmes', 'King Arthur: Legend of the Sword', 'Sherlock Holmes: A Game of Shadows']"
Hal Needham,Burt Reynolds,"['Smokey and the Bandit', 'The Cannonball Run', 'Hooper', 'Smokey and the Bandit II', 'Cannonball Run II']"
Hal Needham,Dom DeLuise,"['The Cannonball Run', 'Smokey and the Bandit II', 'Cannonball Run II']"
Henry Hathaway,John Wayne,"['True Grit', 'The Sons of Katie Elder', 'North to Alaska']"
Henry Joost,Ariel Schulman,"['Nerve', 'Project Power', 'Viral', 'Secret Headquarters', 'Paranormal Activity 4']"
Howard Hawks,John Wayne,"['Rio Bravo', 'El Dorado', 'Rio Lobo', 'Hatari!', 'Red River']"
Howard Hawks,Walter Brennan,"['Red River', 'To Have and Have Not', 'Sergeant York']"
Ingmar Bergman,Gunnar Björnstrand,"['Det sjunde inseglet', 'Persona', 'Smultronstället']"
Ivan Reitman,Arnold Schwarzenegger,"['Kindergarten Cop', 'Twins', 'Junior']"
Ivan Reitman,Bill Murray,"['Ghostbusters', 'Ghostbusters II', 'Meatballs', 'Stripes']"
Ivan Reitman,Frank Langella,"['Draft Day', 'Dave', 'Junior']"
Ivan Reitman,Harold Ramis,"['Ghostbusters', 'Ghostbusters II', 'Stripes']"
Ivan Reitman,Sigourney Weaver,"['Ghostbusters', 'Ghostbusters II', 'Dave']"
J. Lee Thompson,Gregory Peck,"['The Guns of Navarone', 'Cape Fear', ""Mackenna's Gold""]"
Jack Hill,Pam Grier,"['Foxy Brown', 'Coffy', 'The Big Doll House', 'The Big Bird Cage']"
Jake Kasdan,Dwayne Johnson,"['Jumanji: Welcome to the Jungle', 'Jumanji: The Next Level', 'Red One', 'Untitled Jumanji: The Next Level sequel']"
Jake Kasdan,Jack Black,"['Jumanji: Welcome to the Jungle', 'Jumanji: The Next Level', 'Orange County', 'Untitled Jumanji: The Next Level sequel']"
Jake Kasdan,Karen Gillan,"['Jumanji: Welcome to the Jungle', 'Jumanji: The Next Level', 'Untitled Jumanji: The Next Level sequel']"
James Cameron,Arnold Schwarzenegger,"['The Terminator', 'Terminator 2: Judgment Day', 'True Lies']"
James Cameron,Michael Biehn,"['Aliens', 'The Terminator', 'The Abyss']"
James Cameron,Sigourney Weaver,"['Aliens', 'Avatar: The Way of Water', 'Avatar', 'Avatar 3']"
James Cameron,Zoe Saldana,"['Avatar: The Way of Water', 'Avatar', 'Avatar 3']"
James Franco,James Franco,"['The Disaster Artist', 'The Long Home', 'In Dubious Battle']"
James Gray,Joaquin Phoenix,"['We Own the Night', 'Two Lovers', 'The Immigrant']"
James Gunn,Chris Pratt,"['Guardians of the Galaxy Vol. 3', 'Guardians of the Galaxy', 'Guardians of the Galaxy Vol. 2']"
James L. Brooks,Jack Nicholson,"['Terms of Endearment', 'As Good as It Gets', 'How Do You Know']"
James Mangold,Hugh Jackman,"['Logan', 'The Wolverine', 'Kate & Leopold']"
James Wan,Patrick Wilson,"['Aquaman and the Lost Kingdom', 'The Conjuring', 'Insidious', 'Aquaman', 'The Conjuring 2', 'Insidious: Chapter 2']"
Jason Friedberg,Aaron Seltzer,"['Epic Movie', 'Disaster Movie', 'Meet the Spartans', 'Vampires Suck', 'The Starving Games', 'Superfast!']"
Jaume Collet-Serra,Liam Neeson,"['Non-Stop', 'The Commuter', 'Unknown', 'Run All Night']"
Jay Chandrasekhar,Jay Chandrasekhar,"['Super Troopers', 'Beerfest', 'Club Dread', 'Super Troopers 2']"
Jay Chandrasekhar,Kevin Heffernan,"['Super Troopers', 'Beerfest', 'Club Dread', 'Super Troopers 2']"
Jay Roach,Michael York,"['Austin Powers: International Man of Mystery', 'Austin Powers: The Spy Who Shagged Me', 'Austin Powers in Goldmember']"
Jay Roach,Mike Myers,"['Austin Powers: International Man of Mystery', 'Austin Powers: The Spy Who Shagged Me', 'Austin Powers in Goldmember']"
Jeff Baena,Alison Brie,"['Spin Me Round', 'The Little Hours', 'Horse Girl']"
Jeff Fowler,Ben Schwartz,"['Sonic the Hedgehog 3', 'Sonic the Hedgehog 2', 'Sonic the Hedgehog']"
Jeff Nichols,Michael Shannon,"['The Bikeriders', 'Take Shelter', 'Midnight Special']"
Jeff Tremaine,Johnny Knoxville,"['Jackass Forever', 'Bad Grandpa', 'Jackass: The Movie']"
Jeff Wamester,Jensen Ackles,"['Justice League: Crisis on Infinite Earths - Part Two', 'Justice League: Crisis on Infinite Earths - Part One', 'Justice League: Crisis on Infinite Earths - Part Three', 'Justice League: Warworld', 'Legion of Super-Heroes']"
Jeff Wamester,Meg Donnelly,"['Justice League: Crisis on Infinite Earths - Part Two', 'Justice League: Crisis on Infinite Earths - Part One', 'Legion of Super-Heroes']"
Jen Soska,Sylvia Soska,"['American Mary', 'Rabid', 'Festival of the Living Dead']"
Jesse V. Johnson,Scott Adkins,"['Avengement', 'Accident Man', 'Triple Threat']"
Jim Abrahams,David Zucker,"['Airplane!', 'Top Secret!', 'Ruthless People']"
Jim Abrahams,Jerry Zucker,"['Airplane!', 'Top Secret!', 'Ruthless People']"
Jim Abrahams,Lloyd Bridges,"['Hot Shots!', 'Hot Shots! Part Deux', ""Jane Austen's Mafia!""]"
Jim Jarmusch,Bill Murray,"[""The Dead Don't Die"", 'Broken Flowers', 'Coffee and Cigarettes']"
Jim Jarmusch,Tom Waits,"[""The Dead Don't Die"", 'Coffee and Cigarettes', 'Down by Law']"
Jimmy Chin,Elizabeth Chai Vasarhelyi,"['Nyad', 'Free Solo', 'The Rescue']"
Joachim Rønning,Espen Sandberg,"['Pirates of the Caribbean: Dead Men Tell No Tales', 'Kon-Tiki', 'Bandidas']"
Joe Carnahan,Frank Grillo,"['Boss Level', 'Copshop', 'The Grey']"
Joe Wright,Keira Knightley,"['Pride & Prejudice', 'Atonement', 'Anna Karenina']"
Joel Coen,Ethan Coen,"['The Big Lebowski', 'Fargo', 'O Brother, Where Art Thou?', 'Raising Arizona', 'Blood Simple', ""Miller's Crossing"", 'Barton Fink', 'The Hudsucker Proxy', 'Intolerable Cruelty']"
Joel Coen,Frances McDormand,"['Fargo', 'The Tragedy of Macbeth', 'Blood Simple', ""The Man Who Wasn't There""]"
Joel Coen,John Goodman,"['The Big Lebowski', 'O Brother, Where Art Thou?', 'Raising Arizona', 'Barton Fink']"
Joel Coen,John Turturro,"['O Brother, Where Art Thou?', ""Miller's Crossing"", 'Barton Fink']"
John Carpenter,Donald Pleasence,"['Halloween', 'Escape from New York', 'Prince of Darkness']"
John Carpenter,Kurt Russell,"['The Thing', 'Big Trouble in Little China', 'Escape from New York', 'Escape from L.A.']"
John Ford,Henry Fonda,"['Mister Roberts', 'My Darling Clementine', 'How the West Was Won', 'The Grapes of Wrath']"
John Ford,John Wayne,"['The Searchers', 'The Quiet Man', 'How the West Was Won', 'Stagecoach', 'The Man Who Shot Liberty Valance', 'Rio Grande', 'The Horse Soldiers', ""Donovan's Reef"", 'She Wore a Yellow Ribbon', '3 Godfathers']"
John Ford,Maureen O'Hara,"['The Quiet Man', 'Rio Grande', 'How Green Was My Valley']"
